moderator,outcome,sample,n,mean_pre,effect_girls,se_girls,p_girls,stars_girls,effect_boys,se_boys,p_boys,stars_boys,diff_h1_minus_h0,diff_se,diff_p,years,label0,label1,stata_label_girls,stata_label_boys,stata_se_girls,stata_se_boys,rev_girls,rev_se_girls,rev_p_girls,rev_boys,rev_se_boys,rev_p_boys,rev_diff_p,effect_rural,se_rural,p_rural,stars_rural,effect_urban,se_urban,p_urban,stars_urban,rev_rural,rev_se_rural,rev_p_rural,rev_urban,rev_se_urban,rev_p_urban,effect_nonindig_head,se_nonindig_head,p_nonindig_head,stars_nonindig_head,effect_indig_head,se_indig_head,p_indig_head,stars_indig_head,rev_nonindig_head,rev_se_nonindig_head,rev_p_nonindig_head,rev_indig_head,rev_se_indig_head,rev_p_indig_head,effect_near,se_near,p_near,stars_near,effect_far,se_far,p_far,stars_far
male,works,all,11992,0.18027433050293926,-0.02754448710841368,0.02144798565516029,0.19908094586243244,,-0.044041633947587526,0.02049657792635553,0.031675841844492514,**,-0.016497146839173846,0.025191443336334277,0.5125507836300895,2012-2019,girls,boys,-0.044041633947587526,-0.02754448710841368,0.02049657792635553,0.02144798565516029,-0.00814129104600433,0.02296461173481272,0.7229595183579869,0.01714237790050551,0.02287875727754048,0.4537089988847368,0.31738440018285563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban,works,all,11992,0.18027433050293926,,,,,,,,,0.07001259687819272,0.02947825910659161,0.017546157748673814,2012-2019,rural,urban,,,,,,,,,,,0.9578707556155169,-0.08591868180097917,0.02960941852396324,0.0037178320023215,***,-0.015906084922786445,0.016552709449239023,0.3366041656673969,,0.007944952997526334,0.044798619981894064,0.8592379401901944,0.00542280381858346,0.018515148518139762,0.7696153878185963,,,,,,,,,,,,,,,,,,,,,,
indig_head,works,all,11992,0.18027433050293926,,,,,,,,,0.00048684759879032667,0.027834976814650948,0.9860453134012942,2012-2019,nonindig_head,indig_head,,,,,,,,,,,0.9379909939689866,,,,,,,,,,,,,,,-0.03612663990133086,0.01782019748686561,0.04265540551261142,**,-0.03563979230254053,0.026458174704308748,0.17799820866382457,,0.006039926067405638,0.020501347318793224,0.7682960630909316,0.0029661180034230863,0.03553646551836979,0.9334817134396578,,,,,,,,
het_time,works,all,7653,0.18027433050293926,,,,,,,,,0.036233909491096894,0.056076135868279475,0.5181785874625711,2012-2016,near,far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02708363506375876,0.020040273627370396,0.1765883031436816,,0.009150274427338134,0.04995860363523402,0.854679624564495,
het_time,works,no_mteps_offices,2889,0.3244176013805004,,,,,,,,,0.05949459456644601,0.07049363474466663,0.3986855226257604,2012-2016,near,far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06784957095723794,0.045241534538780964,0.13379909052296005,,-0.008354976390791927,0.052074689947355826,0.872544246243921,
het_dist,works,all,7653,0.18027433050293926,,,,,,,,,0.06221148365747493,0.05819455369558568,0.28505801046451407,2012-2016,near,far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033598209296337334,0.02008377547105582,0.09438760526691602,*,0.028613274361137593,0.052098793169177794,0.5828762371607088,
het_dist,works,no_mteps_offices,2889,0.3244176013805004,,,,,,,,,0.10309883566030852,0.06609264879309816,0.11878025026858036,2012-2016,near,far,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09035407941470251,0.04258914461986594,0.03396423065249627,**,0.012744756245606004,0.05174131270442653,0.8054548827279783,
