panel,outcome,xxw3,xxw3_se,xxrw3,xxrw3_se,n,mean_pre,stars_xxw3
A_all,location_out_fixed_a,-0.05056277465257476,0.013756706067326646,-0.008619669329690598,0.016083957130053887,11991,0.14929761515844495,***
A_all,location_out_mobile_a,0.008551668768873106,0.00791077182834792,0.004824697890906748,0.012602707092503124,11991,0.024828487422410978,
A_all,location_home_a,0.0026603450764798873,0.00386239023700965,0.003324087490387027,0.0033223968284306613,11991,0.005880431231623653,
B_working,location_out_fixed_a,-0.09823542444909653,0.03468140952595887,-0.043230970858262205,0.05044620385710028,2323,0.8294010889292196,***
B_working,location_out_mobile_a,0.07767941140094524,0.03401821545559356,0.02191599712832262,0.05364623093032818,2323,0.13793103448275862,**
B_working,location_home_a,0.020556013048149923,0.017574506016114776,0.021314973729936442,0.01816585935903531,2323,0.032667876588021776,
B_working,number_workers_a,-0.6732931649868886,0.4471509209352321,-0.37379189386607925,0.3793029297919411,2250,4.758747697974218,
