variable,external,family,pval,n_external,n_family
number_workers_w_median,4.0,4.0,0.20921987394783664,113,1094
wage_hour_w,6.29077542983258,18.557310376009454,4.294231267959942e-05,125,4
firm_taxes,0.09803921568627451,0.025547445255474453,6.20156064837621e-05,102,1096
location_out_fixed_a,0.64,0.8987226277372263,8.964234363290226e-17,125,1096
location_out_mobile_a,0.36,0.07116788321167883,3.0594702986701437e-25,125,1096
location_home_a,0.0,0.030109489051094892,0.04926086531258958,125,1096
agriculture_a,0.144,0.7718978102189781,6.000570881405091e-53,125,1096
sales_a,0.232,0.10127737226277372,1.3095383197604598e-05,125,1096
other_occ,0.624,0.12682481751824817,1.107495893106858e-46,125,1096
