variable,stat,working,age10_11,age12_13,age14_15,n_working
number_workers_w,median,4.0,4.0,4.0,4.0,1116
wage_hour_w,mean,7.0384790557115515,5.440269614228602,7.123243705273828,7.294886361867488,1130
firm_taxes,mean,0.03523035230352303,0.020833333333333332,0.04592901878914405,0.03424657534246575,1130
location_out_fixed_a,mean,0.8592920353982301,0.11304670126019274,0.13674388674388674,0.1502493765586035,1130
location_out_mobile_a,mean,0.11238938053097346,0.009636767976278725,0.015765765765765764,0.032418952618453865,1130
location_home_a,mean,0.02831858407079646,0.0018532246108228317,0.005148005148005148,0.00685785536159601,1130
