outcome,sample,recall,xx,xx_se,n,mean,stars_xx
risks_a,all,survey_date,-0.007491718729521607,0.016601685492820824,8363,0.2812711291413117,
risks_a,working,survey_date,-0.037286896345653756,0.0347929283537512,2914,0.5359596885020614,
injury_a,all,year_before,-0.014805982202874594,0.01379726629996836,8401,0.1880920162381597,
injury_a,working,year_before,-0.0159374225385531,0.029169868045024184,3208,0.3268416596104996,
