table,result,paper,python,abs_diff,status
5CL,Table5 injury_a_work xx_se,0.029,0.029169868045024184,0.0001698680450241824,match
5CL,Table5 injury_a_work n,3208.0,3208.0,0.0,match
5CL,Table5 injury_a_work mean,0.327,0.3270257156720039,2.5715672003878698e-05,match
6,Table6 location_out_fixed_a xxw3,-0.051,-0.05056277465257476,0.00043722534742523383,match
6,Table6 location_out_fixed_a xxrw3,-0.009,-0.008619669329690598,0.00038033067030940164,match
6,Table6 location_out_fixed_a N,11991.0,11991.0,0.0,match
6,Table6 location_out_mobile_a xxw3,0.009,0.008551668768873106,0.0004483312311268934,match
6,Table6 location_out_mobile_a xxrw3,0.005,0.004824697890906748,0.00017530210909325224,match
6,Table6 location_out_mobile_a N,11991.0,11991.0,0.0,match
6,Table6 location_home_a xxw3,0.003,0.0026603450764798873,0.0003396549235201128,match
6,Table6 location_home_a xxrw3,0.003,0.003324087490387027,0.0003240874903870268,match
6,Table6 location_home_a N,11991.0,11991.0,0.0,match
6,Table6 location_out_fixed_a_w xxw3,-0.098,-0.09823542444909653,0.00023542444909652183,match
6,Table6 location_out_fixed_a_w xxrw3,-0.043,-0.043230970858262205,0.0002309708582622083,match
6,Table6 location_out_fixed_a_w N,2323.0,2323.0,0.0,match
6,Table6 location_out_mobile_a_w xxw3,0.078,0.07767941140094524,0.0003205885990547608,match
6,Table6 location_out_mobile_a_w xxrw3,0.022,0.02191599712832262,8.400287167737927e-05,match
6,Table6 location_out_mobile_a_w N,2323.0,2323.0,0.0,match
6,Table6 location_home_a_w xxw3,0.021,0.020556013048149923,0.0004439869518500783,match
6,Table6 location_home_a_w xxrw3,0.021,0.021314973729936442,0.0003149737299364408,match
6,Table6 location_home_a_w N,2323.0,2323.0,0.0,match
6,Table6 number_workers_a_w xxw3,-0.726,-0.6732931649868886,0.05270683501311135,near
6,Table6 number_workers_a_w xxrw3,-0.359,-0.37379189386607925,0.014791893866079264,near
6,Table6 number_workers_a_w N,2250.0,2250.0,0.0,match
