feature,importance
head_age,0.3880479577712649
head_schooling,0.2714278048688669
het_dist,0.09954302697672325
indig_head,0.05073825232674551
male,0.0468162528993981
het_time,0.04465938240635757
urban,0.04190300639206092
mtepsoffices,0.03603380686808305
head_male,0.020830509490499922
