moderator,sample,near,near_se,far,far_se,diff_p,n,mean_pre,stars_near,stars_far
het_time,all,-0.03006533390426991,0.02050238356049744,0.0018434240835873694,0.06096789413557071,0.6435420884790686,7650,0.18000653381247958,,
het_time,no_mteps,-0.07431294910965415,0.042584940665421823,0.00178742566056371,0.05756114830281652,0.3356517249031491,2984,0.3174204355108878,*,
het_dist,all,-0.037005057020065256,0.020852556833635894,0.00948576053366653,0.05984596896488541,0.4950904686420754,7650,0.18000653381247958,*,
het_dist,no_mteps,-0.10254438082904435,0.04412210725188317,0.006603344396624189,0.055627417543927304,0.17293649882624695,2984,0.3174204355108878,**,
