variable,all,working,age10_11,age12_13,age14_15,n_all,n_work,n_10_11,n_12_13,n_14_15
risks_a,0.2938815677927441,0.544228718275623,0.24551730069211172,0.3127928855607483,0.34608671633973814,3477,1756,1343,1389,745
injury_a,0.17768564605702747,0.32438064853576654,0.16237601713080319,0.18348770436215145,0.1945593343846241,3477,1749,1343,1389,745
