variable,all,working,age10_11,age12_13,age14_15
head_schooling,8.60310391363023,5.68495575221239,8.623795404002966,8.589124839124839,8.595386533665835
head_male,0.7871794871794872,0.7893805309734513,0.7976278724981468,0.7921492921492922,0.7599750623441397
head_age,44.40067476383266,45.266371681415926,43.402520385470716,44.70688545688546,45.48628428927681
indig_head,0.3565452091767881,0.6194690265486725,0.3587842846553002,0.3487773487773488,0.36783042394014964
hhsize,5.593117408906883,6.0194690265486726,5.634914751667902,5.58976833976834,5.529301745635911
male,0.5014844804318489,0.49557522123893805,0.4985174203113417,0.5106177606177607,0.48877805486284287
works,0.1524966261808367,,0.1245366938472943,0.15765765765765766,0.18952618453865336
hours_week_a,3.325067476383266,21.80420353982301,2.305133432171979,3.4556788931788933,4.787562344139651
self_employed_a,0.002968960863697706,0.019469026548672566,0.001111934766493699,0.0032175032175032173,0.005610972568578554
wrk_forother_a,0.149527665317139,0.9805309734513274,0.1234247590808006,0.15444015444015444,0.18391521197007482
wrk_foremployer_a,0.016734143049932523,0.10973451327433628,0.004447739065974796,0.015765765765765764,0.03927680798004988
wrk_family_a,0.13279352226720648,0.8707964601769912,0.1189770200148258,0.13867438867438867,0.14463840399002495
forbidden_a,0.006477732793522267,0.04247787610619469,0.002223869532987398,0.006113256113256113,0.014339152119700748
not_forbidden_a,0.14601889338731444,0.9575221238938053,0.1223128243143069,0.15154440154440155,0.17518703241895262
wrk30hrs_a,0.030364372469635626,0.19911504424778761,0.01519644180874722,0.030566280566280565,0.05548628428927681
attendance_a,0.9701754385964912,0.9079646017699115,0.9848035581912528,0.9697554697554698,0.9463840399002493
